period,periodOrder,region,month,monthLabel,medianChlorophyllA,medianSuspendedSolids,medianSalinity,medianSecchiDepthM,sampleCount
2021-2022,1,Burdekin region,1,Jan,0.26,1.14,34.82,4.65,22
2021-2022,1,Burdekin region,2,Feb,0.33,1.86,34.13,3.9,29
2021-2022,1,Burdekin region,3,Mar,0.31,3.54,33.75,3.15,10
2021-2022,1,Burdekin region,4,Apr,0.23,1.23,33.77,4,5
2021-2022,1,Burdekin region,5,May,0.39,1.99,32.78,2.9,20
2021-2022,1,Burdekin region,6,Jun,0.39,1.45,34.5,4.75,20
2021-2022,1,Burdekin region,9,Sept,0.25,1.78,35.47,3.5,10
2021-2022,1,Burdekin region,10,Oct,0.24,1.12,35,4.5,10
2021-2022,1,Burdekin region,11,Nov,0.25,1.63,35.05,4,5
2021-2022,1,Burdekin region,12,Dec,0.12,1.23,35.05,4.8,5
2021-2022,1,Cape York region,1,Jan,0.26,1.16,34.71,7.17,39
2021-2022,1,Cape York region,2,Feb,0.3,1.88,32.2,6.81,74
2021-2022,1,Cape York region,3,Mar,0.26,2.22,32.04,6.7,45
2021-2022,1,Cape York region,4,Apr,0.32,3.12,29.81,3.1,22
2021-2022,1,Cape York region,5,May,0.28,1.39,33.16,6.4,15
2021-2022,1,Cape York region,6,Jun,0.25,1.44,34.32,4.78,7
2021-2022,1,Cape York region,7,Jul,0.15,,,,1
2021-2022,1,Cape York region,10,Oct,0.22,1.2,35.11,8.3,5
2021-2022,1,Cape York region,11,Nov,0.18,0.79,35.28,7.1,33
2021-2022,1,Cape York region,12,Dec,0.2,1.18,35.45,5.2,25
2021-2022,1,Fitzroy region,1,Jan,0.41,1.96,35.24,4,9
2021-2022,1,Fitzroy region,2,Feb,0.35,1.69,36.06,1,15
2021-2022,1,Fitzroy region,3,Mar,0.33,1.46,35.78,6.4,12
2021-2022,1,Fitzroy region,4,Apr,0.36,1.44,35.59,5.25,6
2021-2022,1,Fitzroy region,5,May,0.52,2.55,34.92,2.5,23
2021-2022,1,Fitzroy region,6,Jun,0.18,0.52,35.67,10,13
2021-2022,1,Fitzroy region,7,Jul,0.21,2.42,35.18,7,24
2021-2022,1,Fitzroy region,9,Sept,0.24,0.25,35.83,6,9
2021-2022,1,Fitzroy region,10,Oct,0.26,0.73,35.06,2.5,9
2021-2022,1,Fitzroy region,11,Nov,0.25,0.98,35.2,3.75,16
2021-2022,1,Fitzroy region,12,Dec,0.21,1.96,34.99,8.9,8
2021-2022,1,Mackay Whitsunday region,1,Jan,0.45,1.3,35.2,6.5,5
2021-2022,1,Mackay Whitsunday region,2,Feb,0.47,1.47,34.69,5,22
2021-2022,1,Mackay Whitsunday region,3,Mar,0.48,0.99,35,4.5,12
2021-2022,1,Mackay Whitsunday region,6,Jun,0.34,1.22,35.23,5.5,16
2021-2022,1,Mackay Whitsunday region,9,Sept,0.36,1.97,35.42,4.5,9
2021-2022,1,Mackay Whitsunday region,10,Oct,0.36,2.79,35.25,3.5,9
2021-2022,1,Wet Tropics region,1,Jan,0.34,1.33,32.24,5,40
2021-2022,1,Wet Tropics region,2,Feb,0.31,1.13,32.71,7.5,72
2021-2022,1,Wet Tropics region,3,Mar,0.38,1.39,33.15,9,15
2021-2022,1,Wet Tropics region,4,Apr,0.44,3.18,31.93,3,28
2021-2022,1,Wet Tropics region,5,May,0.43,3.38,31.91,3.2,14
2021-2022,1,Wet Tropics region,6,Jun,0.34,0.99,34.14,6.5,46
2021-2022,1,Wet Tropics region,7,Jul,0.31,2.4,33.74,4.5,19
2021-2022,1,Wet Tropics region,9,Sept,0.6,4.58,35.11,2.75,7
2021-2022,1,Wet Tropics region,10,Oct,0.23,1.15,35.01,6,28
2021-2022,1,Wet Tropics region,11,Nov,0.21,1.83,35.03,4.5,11
2021-2022,1,Wet Tropics region,12,Dec,0.26,0.94,34.84,9.5,22
2024-2025,2,Burdekin region,1,Jan,0.33,1.14,34.45,5.4,21
2024-2025,2,Burdekin region,2,Feb,0.67,2.78,28.35,2.4,55
2024-2025,2,Burdekin region,3,Mar,0.6,5.75,32.54,2.6,10
2024-2025,2,Burdekin region,4,Apr,0.54,1.42,30.89,5.25,12
2024-2025,2,Burdekin region,5,May,0.52,4.15,35.05,2.3,5
2024-2025,2,Burdekin region,6,Jun,0.3,0.81,35.11,5,20
2024-2025,2,Burdekin region,10,Oct,0.38,1.44,35.93,4,10
2024-2025,2,Burdekin region,12,Dec,0.44,0.97,35.53,4.2,6
2024-2025,2,Cape York region,1,Jan,0.31,0.85,34.81,6.8,43
2024-2025,2,Cape York region,2,Feb,0.3,0.8,33.56,7.1,41
2024-2025,2,Cape York region,3,Mar,0.45,1.13,30.7,5.05,49
2024-2025,2,Cape York region,4,Apr,0.42,0.7,30.05,9.75,12
2024-2025,2,Cape York region,5,May,0.42,1.86,33.19,4.25,14
2024-2025,2,Cape York region,6,Jun,0.29,2.03,34.13,5,7
2024-2025,2,Cape York region,10,Oct,0.54,1.3,35.67,5.03,4
2024-2025,2,Cape York region,11,Nov,0.17,0.68,35.85,5.9,9
2024-2025,2,Cape York region,12,Dec,0.3,0.46,35.59,7.4,20
2024-2025,2,Fitzroy region,1,Jan,0.32,0.62,36.01,7.5,12
2024-2025,2,Fitzroy region,2,Feb,0.63,3.09,35.99,1,18
2024-2025,2,Fitzroy region,3,Mar,0.41,1.4,35.65,6.25,6
2024-2025,2,Fitzroy region,4,Apr,0.34,0.7,35.53,7.25,12
2024-2025,2,Fitzroy region,5,May,0.27,1.99,35.34,6,19
2024-2025,2,Fitzroy region,6,Jun,0.25,0.42,35.39,9,15
2024-2025,2,Fitzroy region,7,Jul,0.23,0.58,35.36,12.4,6
2024-2025,2,Fitzroy region,10,Oct,0.49,1.02,35.86,1.5,9
2024-2025,2,Fitzroy region,11,Nov,0.23,1.07,36.14,6.25,6
2024-2025,2,Fitzroy region,12,Dec,0.57,0.7,36.11,6.5,6
2024-2025,2,Mackay Whitsunday region,1,Jan,0.36,1.01,35.04,6.5,10
2024-2025,2,Mackay Whitsunday region,2,Feb,0.6,2.76,34.31,2.5,18
2024-2025,2,Mackay Whitsunday region,3,Mar,0.71,2.87,33.98,3.5,10
2024-2025,2,Mackay Whitsunday region,6,Jun,0.35,1.59,35.52,4,17
2024-2025,2,Mackay Whitsunday region,10,Oct,0.57,5.91,35.73,2,9
2024-2025,2,Wet Tropics region,1,Jan,0.36,1.37,33.21,7.75,40
2024-2025,2,Wet Tropics region,2,Feb,0.67,1.56,29.63,5,71
2024-2025,2,Wet Tropics region,3,Mar,0.52,1.55,30.31,4.75,38
2024-2025,2,Wet Tropics region,4,Apr,0.55,2.79,31.76,3.75,20
2024-2025,2,Wet Tropics region,6,Jun,0.31,2.08,34.43,4.5,45
2024-2025,2,Wet Tropics region,7,Jul,0.25,1.48,34.6,7,20
2024-2025,2,Wet Tropics region,10,Oct,0.21,1,35.49,6,23
2024-2025,2,Wet Tropics region,12,Dec,0.24,0.85,35.11,7,11