regionCode,regionOrder,region,measureCode,measureOrder,measure,shortLabel,unit,targetMode,yearLabel,reportingWindow,gradeLetter,gradeLabel,gradeRank,targetValue,latestValue,overallProgress,latestChange,areaHectares,rainfallMm,dischargeGl,statusNote,narrative,sourceUrl
GBR,0,Great Barrier Reef wide,DIN,1,Dissolved Inorganic N,DIN,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,60,0.7,28.4,,42400000,888,73501,,"The dissolved inorganic nitrogen load leaving catchments showed a cumulative reduction of 28.4% to June 2022 and a modelled reduction of 0.7% (approximately 35 tonnes) from July 2020 to June 2022. 

The Burdekin region recorded the greatest modelled load reduction of 2% (approximately 15 tonnes). The majority of the load reductions were a result of adopting practices that reduced the nitrogen surplus in sugarcane and improved mill mud application.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=DIN&area=GBR
GBR,0,Great Barrier Reef wide,FS,2,Sediment,Sediment,Percent reduction,reduce,2021-2022,2021-2022 progress,D,Poor,2,25,0.8,16,,42400000,888,73501,,"The fine sediment load leaving catchments showed a cumulative reduction of 16.0% to June 2022 and a modelled reduction of 0.8% (approximately 48 kilotonnes) from July 2020 to June 2022. 

The greatest modelled reduction was 1.3% (approximately 17 kilotonnes) in the Fitzroy region, with the majority of the load reduction attributed to streambank repair projects in the Fitzroy catchment. 

Mackay region continued to improve with a modelled reduction of 1.2% (approximately 5 kilotonnes). This reduction is attributable to a significant number of streambank rehabilitation projects undertaken in the O'Connell catchment.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=FS&area=GBR
GBR,0,Great Barrier Reef wide,PN,3,Particulate N,Particulate N,Percent reduction,reduce,2021-2022,2021-2022 progress,C,Moderate,3,20,1.1,15.4,,42400000,888,73501,,"The particulate nitrogen load leaving catchments showed a cumulative reduction of 15.4% to June 2022 and a modelled reduction of 1.1% (approximately 120 tonnes) from July 2020 to June 2022. 

The greatest modelled reduction occurred in the Fitzroy Region 1.9% (approximately 52 tonnes). The majority of the change occurred in the Fitzroy catchment and was achieved primarily through gully remediation and grazing management change.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PN&area=GBR
GBR,0,Great Barrier Reef wide,PP,4,Particulate P,Particulate P,Percent reduction,reduce,2021-2022,2021-2022 progress,A,Very good,5,20,1.1,18.5,,42400000,888,73501,,"The particulate phosphorus load leaving catchments showed a cumulative reduction of 18.5% to June 2022 and a modelled reduction of 1.1% (approximately 60 tonnes) from July 2020 to June 2022. 

The Fitzroy region achieved the highest modelled reduction 1.6% (approximately 25 tonnes). The majority of the change occurred in the Fitzroy catchment and was achieved primarily through gully remediation and grazing management change.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PP&area=GBR
GBR,0,Great Barrier Reef wide,PEST,5,Pesticides,Pesticides,Percent protected,protect,2021-2022,2022 condition,B,Good,4,99,95,95,-2.4,42400000,888,73501,,"The pesticide risk condition in 2021 and 2022 indicated that 97.4% and 95% of aquatic species, respectively, were unlikely to experience harmful effects from pesticides. While this result represents the overall risk across all Great Barrier Reef catchments, some regions and catchments had a much lower level of protection and will require considerably larger improvements to meet the target.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PEST&area=GBR
CY,1,Cape York region,DIN,1,Dissolved Inorganic N,DIN,Percent reduction,maintain,2021-2022,2021-2022 progress,MCL,Maintain current load,0,0,,,,4298255,1449,16415,Minimal anthropogenic dissolved inorganic nitrogen loads; maintain current water quality.,,https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=DIN&area=CY
CY,1,Cape York region,FS,2,Sediment,Sediment,Percent reduction,reduce,2021-2022,2021-2022 progress,A,Very good,5,5,0.9,,,4298255,1449,16415,,"The 2025 water quality target for fine sediment loads was met previously. The Cape York region continued to improve with a 0.9% reduction (approximately 1.5 kilotonnes) in the modelled fine sediment load from July 2020 to June 2022 (13.1% reduction overall). These reductions were attributed to improved grazing management only and included streambank protection in the Endeavour, and hillslope and gully projects in the Normanby.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=FS&area=CY
CY,1,Cape York region,PN,3,Particulate N,Particulate N,Percent reduction,reduce,2021-2022,2021-2022 progress,A,Very good,5,5,0.2,,,4298255,1449,16415,,"The 2025 water quality target for particulate nitrogen loads was previously met for Cape York. The region continues to improve with a 0.2% reduction (approximately 0.9 tonnes) in the modelled particulate nitrogen load from July 2020 to June 2022. These reductions were attributed to improvements in the Normanby and Endeavour catchments. Management practice changes were reported in grazing lands only, and included streambank protection in the Endeavour, and hillslope and gully projects in the Normanby.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PN&area=CY
CY,1,Cape York region,PP,4,Particulate P,Particulate P,Percent reduction,reduce,2021-2022,2021-2022 progress,A,Very good,5,5,0.6,,,4298255,1449,16415,,"The 2025 water quality target for particulate phosphorus loads was previously met for Cape York. The region continues to improve with a 0.6% reduction (approximately 0.9 tonnes) in the modelled particulate phosphorus load from July 2020 to June 2020. These reductions were attributed to improvements in the Normanby and Endeavour catchments. Management practice changes were reported in grazing lands only, and included streambank protection in the Endeavour, and hillslope and gully projects in the Normanby.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PP&area=CY
CY,1,Cape York region,PEST,5,Pesticides,Pesticides,Percent protected,protect,2021-2022,2022 condition,TM,Target met at baseline,5,99,,99,,4298255,1449,16415,Pesticide risk target was met at baseline; later annual reassessment was not required.,"As this area met the target in the pesticide risk baseline assessment, pesticide risk condition was not assessed in subsequent years, including 2021 and 2022. The pesticide risk will be re-assessed when there are major land use changes that might affect pesticide run-off.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PEST&area=CY
WT,2,Wet Tropics region,DIN,1,Dissolved Inorganic N,DIN,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,60,0.7,29.2,,2169280,2063,23487,,"The dissolved inorganic nitrogen load leaving catchments showed a cumulative reduction of 29.2 % to June 2022 and a modelled reduction of 0.7% (approximately 13 tonnes) from July 2020 to June 2022. 

The greatest modelled reduction for the Wet Tropics region was 3.1% (approximately three tonnes) in the Barron catchment. The reductions in dissolved inorganic nitrogen were achieved through improved soil and nitrogen management practices in sugarcane and banana areas.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=DIN&area=WT
WT,2,Wet Tropics region,FS,2,Sediment,Sediment,Percent reduction,reduce,2021-2022,2021-2022 progress,D,Poor,2,25,0.9,15.1,,2169280,2063,23487,,"The fine sediment load leaving catchments showed a cumulative reduction of 15.1% to June 2022 and a modelled reduction of 0.9% (approximately 5 kilotonnes) from July 2020 to June 2022. 

The reduction in fine sediment in the Wet Tropics region was attributed to improved streambank and gully remediation projects, primarily in the Herbert catchment with a 1.1% (approximately 3 kilotonnes) reduction from July 2020 to June 2022. Streambank remediation projects also resulted in an estimated 1 kilotonne reduction of fine sediment in the Murray catchment which produced a 5.3% reduction from July 2020 to June 2022 resulting in its target being met for the first time. The 2025 water quality target was met previously in the Mulgrave-Russell catchment.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=FS&area=WT
WT,2,Wet Tropics region,PN,3,Particulate N,Particulate N,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,25,0.6,13.9,,2169280,2063,23487,,"The particulate nitrogen load leaving catchments showed a cumulative reduction of 13.9% to June 2022 and a modelled reduction of 0.6% (approximately 13 tonnes) from July 2020 to June 2022. 

The reduction in particulate nutrients in the Wet Tropics region was attributed to streambank and gully remediation projects, primarily in the Herbert catchment with a 1.0% (approximately 6.8 tonnes) reduction from July 2020 to June 2022. The 2025 water quality target was met previously in the Mulgrave-Russell catchment.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PN&area=WT
WT,2,Wet Tropics region,PP,4,Particulate P,Particulate P,Percent reduction,reduce,2021-2022,2021-2022 progress,C,Moderate,3,30,1.1,22.9,,2169280,2063,23487,,"The particulate phosphorus load leaving catchments showed a cumulative reduction of 22.9% to June 2022 and a modelled reduction of 1.1% (approximately 9 kilotonnes) from July 2020 to June 2022. 

The reduction in particulate nutrients in the Wet Tropics region was attributed to streambank and gully remediation projects, primarily in the Herbert catchment.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PP&area=WT
WT,2,Wet Tropics region,PEST,5,Pesticides,Pesticides,Percent protected,protect,2021-2022,2022 condition,B,Good,4,99,96,96,,2169280,2063,23487,,"The pesticide risk condition in 2021 and 2022 indicates 95.2% and 96% of aquatic species, respectively, were unlikely to experience harmful effects from pesticides. There is therefore little if any change from the baseline condition. While this result represents the overall risk for all catchments in this region, some catchments had a much lower level of protection and will require considerably larger improvements to meet the target. In 2022, the Daintree, Barron and Murray catchments experienced a lower risk than the Wet Tropics region as a whole, while the Mulgrave-Russell, Johnstone, Tully and Herbert catchments experienced a higher risk. The improvement reported for the Tully catchment in 2020 was not evident in 2021 and 2022. Monitoring recommenced in the Mossman catchment which experienced a higher risk compared to when it was last monitored in 2019.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PEST&area=WT
Bu,3,Burdekin region,DIN,1,Dissolved Inorganic N,DIN,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,60,2,36,,14059322,702,12721,,"The dissolved inorganic nitrogen load leaving catchments showed a cumulative reduction of 36.0% to June 2022 and a modelled reduction of 2.0% (approximately 15 tonnes) from July 2020 to June 2022. 

These results were achieved through adopting improved practices in sugarcane including improved mill mud and irrigation management in the Burdekin Irrigation area.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=DIN&area=Bu
Bu,3,Burdekin region,FS,2,Sediment,Sediment,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,30,0.5,19.3,,14059322,702,12721,,"The fine sediment load leaving catchments showed a cumulative reduction of 19.3% to June 2022 and a modelled reduction of 0.5% (approximately 17 kilotonnes) from July 2020 to June 2022. 

These results were achieved predominantly through streambank and gully protection in the Lower Burdekin and Bowen Rivers, and improved grazing land management practices in the upper Burdekin and Suttor catchments.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=FS&area=Bu
Bu,3,Burdekin region,PN,3,Particulate N,Particulate N,Percent reduction,reduce,2021-2022,2021-2022 progress,C,Moderate,3,25,1.1,18.4,,14059322,702,12721,,"The particulate nitrogen load leaving catchments showed a cumulative reduction of 18.4% to June 2022 and a modelled reduction of 1.1% (approximately 35 tonnes) from July 2020 to June 2022. 

Reductions were due to streambank rehabilitation projects in the Black and Haughton catchments. The greatest modelled reduction for the Black region was 1.4% (approximately 0.6 tonnes).",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PN&area=Bu
Bu,3,Burdekin region,PP,4,Particulate P,Particulate P,Percent reduction,reduce,2021-2022,2021-2022 progress,C,Moderate,3,25,1.1,19,,14059322,702,12721,,"The particulate phosphorus load leaving catchments showed a cumulative reduction of 19.0% to June 2022 and a modelled reduction of 1.1% (approximately 18 tonnes) from July 2020 to June 2022. 

Reductions were due to streambank rehabilitation projects in the Black and Haughton catchments. The greatest modelled reduction for the Black region was 2.1% (approximately 0.3 tonnes).",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PP&area=Bu
Bu,3,Burdekin region,PEST,5,Pesticides,Pesticides,Percent protected,protect,2021-2022,2022 condition,C,Moderate,3,99,94.6,94.6,-3.8,14059322,702,12721,,"The pesticide risk condition in 2021 and 2022 indicates 98.4% and 94.6% of aquatic species, respectively, were unlikely to experience harmful effects from pesticides. The 2021 result for the region is similar to previous years but the 2022 result represents a marked degradation in protection. While both these results represent the overall risk for all catchments in this region, some catchments had a much lower level of protection and will require considerably larger improvements to meet the target. In 2022, the Burdekin, Black and Ross catchments experienced a lower risk than the Burdekin region as a whole, while the Haughton catchment experienced a higher risk. The Don catchment had insufficient data to calculate the pesticide risk condition in 2022.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PEST&area=Bu
MW,4,Mackay Whitsunday region,DIN,1,Dissolved Inorganic N,DIN,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,70,0.7,29.1,,900475,1550,6197,,"The dissolved inorganic nitrogen load leaving catchments showed a cumulative reduction of 29.1% to June 2022 and a modelled reduction of 0.7% (approximately 7 tonnes) from July 2020 to June 2022. 

The greatest modelled reduction for the Mackay Whitsunday region was 1.4% (approximately 4 tonnes) in the Plane Creek catchment. This result was achieved through adoption of best management practices in sugarcane nutrient and mill mud handling that reduced the nitrogen surplus and improved mill mud application.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=DIN&area=MW
MW,4,Mackay Whitsunday region,FS,2,Sediment,Sediment,Percent reduction,reduce,2021-2022,2021-2022 progress,C,Moderate,3,20,1.2,14.3,,900475,1550,6197,,"The fine sediment load leaving catchments showed a cumulative reduction of 14.3% to June 2022 with a modelled reduction of 1.2% (approximately 5 kilotonnes) from July 2020 to June 2022. 

These results were achieved through numerous streambank rehabilitation projects. The greatest modelled reduction was 2.6% (approximately 5 kilotonnes) in the O'Connell catchment.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=FS&area=MW
MW,4,Mackay Whitsunday region,PN,3,Particulate N,Particulate N,Percent reduction,reduce,2021-2022,2021-2022 progress,C,Moderate,3,20,1,14.8,,900475,1550,6197,,"The particulate nitrogen load leaving catchments showed a cumulative reduction of 14.8% to June 2022 and a modelled reduction of 1.0% (approximately 16 tonnes) from July 2020 to June 2022. 

These results were achieved through streambank rehabilitation projects in the O'Connell catchment. The greatest modelled reduction was 2.0% (approximately 14 tonnes) in the O'Connell catchment.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PN&area=MW
MW,4,Mackay Whitsunday region,PP,4,Particulate P,Particulate P,Percent reduction,reduce,2021-2022,2021-2022 progress,B,Good,4,20,1,16.8,,900475,1550,6197,,"The particulate phosphorus load leaving catchments showed a cumulative reduction of 16.8% to June 2022 and a modelled reduction of 1.0% (approximately 5 tonnes) from July 2020 to June 2022. 

These results were achieved through streambank rehabilitation projects in the O'Connell catchment. The greatest modelled reduction was 2.0% (approximately 4 tonnes) in the O'Connell catchment.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PP&area=MW
MW,4,Mackay Whitsunday region,PEST,5,Pesticides,Pesticides,Percent protected,protect,2021-2022,2022 condition,D,Poor,2,99,80.3,80.3,,900475,1550,6197,,"The pesticide risk condition in 2021 and 2022 indicates 79.8% and 80.3% of aquatic species, respectively, were unlikely to experience harmful effects from pesticides. The 2021 result represented a marked deterioration in protection on the previous year, whereas the 2022 result was similar to 2019. While these results represent the overall risk for all catchments in this region, some catchments had a much lower level of protection and will require considerably larger improvements to meet the target. Typically, the Proserpine and O'Connell catchments experience a lower risk than the Mackay Whitsunday region as a whole, while the Plane and Pioneer catchments experience a higher risk.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PEST&area=MW
FZ,5,Fitzroy region,DIN,1,Dissolved Inorganic N,DIN,Percent reduction,maintain,2021-2022,2021-2022 progress,MCL,Maintain current load,0,0,,,,15549409,716,9226,Minimal anthropogenic dissolved inorganic nitrogen loads; maintain current water quality.,,https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=DIN&area=FZ
FZ,5,Fitzroy region,FS,2,Sediment,Sediment,Percent reduction,reduce,2021-2022,2021-2022 progress,D,Poor,2,25,1.4,11.7,,15549409,716,9226,,"The fine sediment load leaving catchments showed a cumulative reduction of 11.7% to June 2022 and a modelled reduction of 1.3% (approximately 17 kilotonnes) from July 2020 to June 2022. 

The majority of the change occurred in the Fitzroy catchment (88% of the total reduction for the region). This was achieved mainly through grazing management change throughout the broader Fitzroy catchment and streambank restoration in the Lower Fitzroy sub-catchment. The streambank remediation projects contributed approximately 79% of the reduction in the exported loads for this region.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=FS&area=FZ
FZ,5,Fitzroy region,PN,3,Particulate N,Particulate N,Percent reduction,reduce,2021-2022,2021-2022 progress,B,Good,4,15,1.9,7.7,,15549409,716,9226,,"The particulate nitrogen load leaving catchments showed a cumulative reduction of 7.7% to June 2022 and a modelled reduction of 1.9% (approximately 52 tonnes) from July 2020 to June 2022. 

The highest reduction was in the Calliope catchment with a reduction of 3.6% (approximately 6 tonnes). The Fitzroy catchment also saw significant reductions, 2% or approximately 43 tonnes, which was achieved through improved hillslope management in grazing areas and improved soil erosion management in cropping areas including improved management and construction of contour banks.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PN&area=FZ
FZ,5,Fitzroy region,PP,4,Particulate P,Particulate P,Percent reduction,reduce,2021-2022,2021-2022 progress,C,Moderate,3,20,1.6,11.1,,15549409,716,9226,,"The particulate phosphorus load leaving catchments showed a cumulative reduction of 11.1% to June 2022 and a modelled reduction of 1.6% (approximately 25 tonnes) from July 2020 to June 2022. 

The highest reduction was in the Calliope catchment with a reduction of 3.9% (3 tonnes). The Fitzroy catchment also saw significant reductions, 1.6% or approximately 20 tonnes, which was achieved through improved hillslope management in grazing areas and improved soil erosion management in cropping areas including improved management and construction of contour banks.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PP&area=FZ
FZ,5,Fitzroy region,PEST,5,Pesticides,Pesticides,Percent protected,protect,2021-2022,2022 condition,C,Moderate,3,99,94.4,94.4,-1.6,15549409,716,9226,,"The pesticide risk condition in 2021 and 2022 indicates that 96% and 94.4% of aquatic species, respectively, were unlikely to experience harmful effects from pesticides. The 2022 result represents a slight deterioration in protection compared to previous years. While these results represent the overall risk for this region, some catchments had minimal pesticide risk. The Fitzroy catchment experienced a similar risk to the Fitzroy region as a whole, while the Styx, Shoalwater, Waterpark, Calliope and Boyne catchments experienced a lower risk.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PEST&area=FZ
BM,6,Burnett Mary region,DIN,1,Dissolved Inorganic N,DIN,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,55,0.1,34.2,,5301479,875,5455,,"The dissolved inorganic nitrogen load leaving catchments showed a cumulative reduction of 34.2% to June 2022 and a modelled reduction of 0.1% (approximately 0.8 tonnes) from July 2020 to June 2022. 

These reductions were attributed to improved fertiliser management to reduce nitrogen surplus in the Burnett and Burrum catchments. The greatest dissolved inorganic nitrogen reduction was 0.2% (approximately 0.5 tonnes) in the Burrum catchment.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=DIN&area=BM
BM,6,Burnett Mary region,FS,2,Sediment,Sediment,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,20,0.3,9.5,,5301479,875,5455,,"The fine sediment load leaving catchments showed a cumulative reduction of 9.5% to June 2022 and a modelled reduction of 0.4% (approximately 2 kilotonnes) from July 2020 to June 2022. 

The greatest modelled reduction of 0.7% (approximately 0.4 kilotonnes) was in the Baffle Creek catchment. This was achieved through gully remediation and grazing management change. The gully management changes contributed all of the reduction in the exported loads in the Baffle Basin.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=FS&area=BM
BM,6,Burnett Mary region,PN,3,Particulate N,Particulate N,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,20,0.3,11.2,,5301479,875,5455,,"The particulate nitrogen load leaving catchments showed a cumulative reduction of 11.2% to June 2022 and a modelled reduction of 0.3% (approximately 3.2 tonnes) from July 2020 to June 2022. 

Small reductions were achieved in the Baffle, Kolan and Mary catchments, with reductions attributed to gully and grazing management projects.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PN&area=BM
BM,6,Burnett Mary region,PP,4,Particulate P,Particulate P,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,20,0.2,16.5,,5301479,875,5455,,"The particulate phosphorus load leaving catchments showed a cumulative reduction of 16.5% to June 2022 and a modelled reduction of 0.2% (approximately 1.3 tonnes) from July 2020 to June 2022. 

Small reductions were achieved in the Kolan, Burnett and Mary catchments with reductions attributed to gully and grazing management projects.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PP&area=BM
BM,6,Burnett Mary region,PEST,5,Pesticides,Pesticides,Percent protected,protect,2021-2022,2022 condition,B,Good,4,99,96.2,96.2,-2.7,5301479,875,5455,,"The pesticide risk condition in 2021 and 2022 indicates 98.9% and 96.2% of aquatic species, respectively, were unlikely to experience harmful effects from pesticides. The 2022 result represents a slight deterioration in protection from previous years. While this result represents the overall risk for all catchments in this region, some catchments had a much lower level of protection and will require greater improvements to meet the target. In 2022, the Baffle continues to experience a lower risk than the Burnett Mary region as a whole, the Burnett and Mary catchments experienced risks similar to the region and the Kolan and Burrum catchments experienced marked deterioration in protection from the previous years.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PEST&area=BM